Feature,Importance
cat__ROUTE_13930_12945,0.0
cat__ROUTE_13930_12892,0.0
cat__ROUTE_13930_12889,0.0
cat__ROUTE_13930_11076,0.0
cat__ROUTE_13930_11109,0.0
cat__ROUTE_13930_12884,0.0
cat__ROUTE_13930_11111,0.0
cat__ROUTE_13930_12758,0.0
cat__ROUTE_13930_11193,0.0
cat__ROUTE_13930_12559,0.0
cat__ROUTE_13930_11203,0.0
cat__ROUTE_13930_11259,0.0
cat__ROUTE_13930_12511,0.0
cat__ROUTE_13930_12478,0.0
cat__ROUTE_13930_12451,0.0
cat__ROUTE_13930_12441,0.0
cat__ROUTE_13930_11146,0.0
cat__ROUTE_13930_13342,0.0
cat__ROUTE_13930_13303,0.0
cat__ROUTE_13930_10980,0.0
cat__ROUTE_13930_10994,0.0
cat__ROUTE_13930_13290,0.0
cat__ROUTE_13930_13282,0.0
cat__ROUTE_13930_13244,0.0
cat__ROUTE_13930_13230,0.0
cat__ROUTE_13930_11067,0.0
cat__ROUTE_13930_13211,0.0
cat__ROUTE_13930_13204,0.0
cat__ROUTE_13930_13198,0.0
cat__ROUTE_13930_13184,0.0
cat__ROUTE_13930_13076,0.0
cat__ROUTE_13930_11057,0.0
cat__ROUTE_13930_13029,0.0
cat__ROUTE_13930_12992,0.0
cat__ROUTE_13930_11066,0.0
cat__ROUTE_13930_11042,0.0
cat__ROUTE_13930_11977,0.0
cat__ROUTE_13930_11433,0.0
cat__ROUTE_13930_11471,0.0
cat__ROUTE_13930_11884,0.0
cat__ROUTE_13930_11823,0.0
cat__ROUTE_13930_11481,0.0
cat__ROUTE_13930_11503,0.0
cat__ROUTE_13930_11775,0.0
cat__ROUTE_13930_11267,0.0
cat__ROUTE_13930_11721,0.0
cat__ROUTE_13930_11697,0.0
cat__ROUTE_13930_11648,0.0
cat__ROUTE_13930_11540,0.0
cat__ROUTE_13930_11638,0.0
cat__ROUTE_13930_11637,0.0
cat__ROUTE_13930_11624,0.0
cat__ROUTE_13930_11618,0.0
cat__ROUTE_13930_11612,0.0
cat__ROUTE_13930_11725,0.0
cat__ROUTE_10279_11298,0.0
cat__ROUTE_13930_12339,0.0
cat__ROUTE_13930_12278,0.0
cat__ROUTE_10279_11259,0.0
cat__ROUTE_13930_11288,0.0
cat__ROUTE_13930_12264,0.0
cat__ROUTE_13930_11292,0.0
cat__ROUTE_13930_12217,0.0
cat__ROUTE_13930_11986,0.0
cat__ROUTE_13930_11298,0.0
cat__ROUTE_13930_12197,0.0
cat__ROUTE_13930_12173,0.0
cat__ROUTE_10279_11292,0.0
cat__ROUTE_13930_12094,0.0
cat__ROUTE_13930_12012,0.0
cat__ROUTE_13930_11996,0.0
cat__ROUTE_13930_11995,0.0
cat__ROUTE_13930_11423,0.0
cat__ROUTE_13930_12206,0.0
cat__ROUTE_13931_11433,0.0
cat__ROUTE_13931_11298,0.0
cat__ROUTE_13931_11292,0.0
cat__ROUTE_10257_14100,0.0
cat__ROUTE_13931_11259,0.0
cat__ROUTE_10257_14112,0.0
cat__ROUTE_13931_10821,0.0
cat__ROUTE_13931_10693,0.0
cat__ROUTE_13931_10397,0.0
cat__ROUTE_13930_15919,0.0
cat__ROUTE_13930_10990,0.0
cat__ROUTE_13930_15412,0.0
cat__ROUTE_10257_14635,0.0
cat__ROUTE_13930_15376,0.0
cat__ROUTE_13930_15370,0.0
cat__ROUTE_13930_15304,0.0
cat__ROUTE_10257_14761,0.0
cat__ROUTE_13930_15048,0.0
cat__ROUTE_13930_15041,0.0
cat__ROUTE_13930_15024,0.0
cat__ROUTE_10257_14986,0.0
cat__ROUTE_13930_15624,0.0
cat__ROUTE_14004_12892,0.0
cat__ROUTE_14004_12173,0.0
cat__ROUTE_13970_10299,0.0
cat__ROUTE_13964_14771,0.0
cat__ROUTE_13933_14635,0.0
cat__ROUTE_13933_13204,0.0
cat__ROUTE_13933_12953,0.0
cat__ROUTE_13933_12478,0.0
cat__ROUTE_13933_11697,0.0
cat__ROUTE_13931_14761,0.0
cat__ROUTE_13931_11618,0.0
cat__ROUTE_13931_13930,0.0
cat__ROUTE_13931_13487,0.0
cat__ROUTE_13931_13303,0.0
cat__ROUTE_13931_13232,0.0
cat__ROUTE_13931_13204,0.0
cat__ROUTE_10257_14082,0.0
cat__ROUTE_13931_12478,0.0
cat__ROUTE_13931_12451,0.0
cat__ROUTE_13931_12266,0.0
cat__ROUTE_13931_12264,0.0
cat__ROUTE_13931_11697,0.0
cat__ROUTE_10257_13577,0.0
cat__ROUTE_13930_14457,0.0
cat__ROUTE_13930_14321,0.0
cat__ROUTE_13930_14307,0.0
cat__ROUTE_13930_14262,0.0
cat__ROUTE_13930_14193,0.0
cat__ROUTE_13930_14122,0.0
cat__ROUTE_13930_14108,0.0
cat__ROUTE_13930_14107,0.0
cat__ROUTE_13930_14100,0.0
cat__ROUTE_13930_14057,0.0
cat__ROUTE_13930_14986,0.0
cat__ROUTE_13930_13931,0.0
cat__ROUTE_13930_13871,0.0
cat__ROUTE_13930_13851,0.0
cat__ROUTE_13930_13830,0.0
cat__ROUTE_13930_13502,0.0
cat__ROUTE_13930_13495,0.0
cat__ROUTE_10279_10423,0.0
cat__ROUTE_13930_13485,0.0
cat__ROUTE_13930_13459,0.0
cat__ROUTE_13930_13367,0.0
cat__ROUTE_10275_14747,0.0
cat__ROUTE_13930_14952,0.0
cat__ROUTE_13930_14908,0.0
cat__ROUTE_13930_14893,0.0
cat__ROUTE_13930_14877,0.0
cat__ROUTE_13930_14869,0.0
cat__ROUTE_13930_14843,0.0
cat__ROUTE_13930_14831,0.0
cat__ROUTE_10257_15304,0.0
cat__ROUTE_13930_14771,0.0
cat__ROUTE_13930_14747,0.0
cat__ROUTE_13930_14492,0.0
cat__ROUTE_13930_14711,0.0
cat__ROUTE_13930_14696,0.0
cat__ROUTE_13930_14685,0.0
cat__ROUTE_13930_14683,0.0
cat__ROUTE_13930_14679,0.0
cat__ROUTE_13930_14635,0.0
cat__ROUTE_13930_14633,0.0
cat__ROUTE_10268_13930,0.0
cat__ROUTE_13930_14574,0.0
cat__ROUTE_13930_14570,0.0
cat__ROUTE_13930_14524,0.0
cat__ROUTE_13930_14730,0.0
cat__ROUTE_13830_11618,0.0
cat__ROUTE_13830_11298,0.0
cat__ROUTE_13830_11292,0.0
cat__ROUTE_13830_10397,0.0
cat__ROUTE_13830_10299,0.0
cat__ROUTE_13796_15016,0.0
cat__ROUTE_13796_14908,0.0
cat__ROUTE_13796_14869,0.0
cat__ROUTE_13796_14747,0.0
cat__ROUTE_13796_14689,0.0
cat__ROUTE_14004_12889,0.0
cat__ROUTE_13796_14570,0.0
cat__ROUTE_13796_14262,0.0
cat__ROUTE_13796_14107,0.0
cat__ROUTE_13796_14057,0.0
cat__ROUTE_13796_13891,0.0
cat__ROUTE_13796_13830,0.0
cat__ROUTE_13796_13232,0.0
cat__ROUTE_13796_13198,0.0
cat__ROUTE_13796_12982,0.0
cat__ROUTE_13796_12954,0.0
cat__ROUTE_13796_12892,0.0
cat__ROUTE_13796_14679,0.0
cat__ROUTE_10299_10245,0.0
cat__ROUTE_13851_11278,0.0
cat__ROUTE_13851_11057,0.0
cat__ROUTE_13851_10693,0.0
cat__ROUTE_13851_10423,0.0
cat__ROUTE_13851_10397,0.0
cat__ROUTE_13830_14893,0.0
cat__ROUTE_13830_14869,0.0
cat__ROUTE_13830_14831,0.0
cat__ROUTE_13830_14771,0.0
cat__ROUTE_13830_12173,0.0
cat__ROUTE_13830_14679,0.0
cat__ROUTE_13830_14107,0.0
cat__ROUTE_13830_14057,0.0
cat__ROUTE_13830_13930,0.0
cat__ROUTE_13830_13796,0.0
cat__ROUTE_13830_12982,0.0
cat__ROUTE_13830_12954,0.0
cat__ROUTE_13830_12892,0.0
cat__ROUTE_13830_12889,0.0
cat__ROUTE_13830_12758,0.0
cat__ROUTE_13830_12402,0.0
cat__ROUTE_13830_14747,0.0
cat__ROUTE_13577_11697,0.0
cat__ROUTE_13577_11618,0.0
cat__ROUTE_13577_11433,0.0
cat__ROUTE_13577_11298,0.0
cat__ROUTE_13577_11278,0.0
cat__ROUTE_13577_11057,0.0
cat__ROUTE_13577_11042,0.0
cat__ROUTE_13577_10821,0.0
cat__ROUTE_13577_10721,0.0
cat__ROUTE_13577_10693,0.0
cat__ROUTE_13796_12889,0.0
cat__ROUTE_13577_10397,0.0
cat__ROUTE_13577_10257,0.0
cat__ROUTE_13577_10158,0.0
cat__ROUTE_13577_10135,0.0
cat__ROUTE_13502_14771,0.0
cat__ROUTE_13502_13930,0.0
cat__ROUTE_13502_12892,0.0
cat__ROUTE_13502_12266,0.0
cat__ROUTE_13502_11618,0.0
cat__ROUTE_13502_11298,0.0
cat__ROUTE_13502_11259,0.0
cat__ROUTE_13577_10529,0.0
cat__ROUTE_13796_12758,0.0
cat__ROUTE_13796_12191,0.0
cat__ROUTE_13796_12173,0.0
cat__ROUTE_13796_11884,0.0
cat__ROUTE_13796_11603,0.0
cat__ROUTE_13796_11292,0.0
cat__ROUTE_13796_11259,0.0
cat__ROUTE_13796_10821,0.0
cat__ROUTE_13796_10800,0.0
cat__ROUTE_13796_10713,0.0
cat__ROUTE_13577_12953,0.0
cat__ROUTE_13796_10423,0.0
cat__ROUTE_13796_10140,0.0
cat__ROUTE_13795_11057,0.0
cat__ROUTE_13795_10397,0.0
cat__ROUTE_13577_15096,0.0
cat__ROUTE_13577_15070,0.0
cat__ROUTE_13577_15016,0.0
cat__ROUTE_13577_14730,0.0
cat__ROUTE_13577_14100,0.0
cat__ROUTE_13577_13232,0.0
cat__ROUTE_13577_13204,0.0
cat__ROUTE_13796_10666,0.0
cat__ROUTE_13930_10135,0.0
cat__ROUTE_13891_14893,0.0
cat__ROUTE_13891_14869,0.0
cat__ROUTE_13891_14831,0.0
cat__ROUTE_13891_14771,0.0
cat__ROUTE_13891_14747,0.0
cat__ROUTE_13891_14107,0.0
cat__ROUTE_13891_14057,0.0
cat__ROUTE_13891_13796,0.0
cat__ROUTE_13891_13232,0.0
cat__ROUTE_13851_11298,0.0
cat__ROUTE_13891_12266,0.0
cat__ROUTE_13891_12191,0.0
cat__ROUTE_13891_12173,0.0
cat__ROUTE_13891_11298,0.0
cat__ROUTE_13891_11292,0.0
cat__ROUTE_13891_11259,0.0
cat__ROUTE_13891_11057,0.0
cat__ROUTE_13891_10693,0.0
cat__ROUTE_13891_10423,0.0
cat__ROUTE_13891_10397,0.0
cat__ROUTE_13873_10299,0.0
cat__ROUTE_13891_12889,0.0
cat__ROUTE_13930_10874,0.0
cat__ROUTE_13930_10868,0.0
cat__ROUTE_10279_12191,0.0
cat__ROUTE_13930_10821,0.0
cat__ROUTE_13930_10792,0.0
cat__ROUTE_13930_10785,0.0
cat__ROUTE_13930_10721,0.0
cat__ROUTE_13930_10713,0.0
cat__ROUTE_13930_10693,0.0
cat__ROUTE_13930_10685,0.0
cat__ROUTE_13930_10140,0.0
cat__ROUTE_13930_10529,0.0
cat__ROUTE_13930_10469,0.0
cat__ROUTE_13930_10434,0.0
cat__ROUTE_13930_10431,0.0
cat__ROUTE_13930_10423,0.0
cat__ROUTE_10279_12266,0.0
cat__ROUTE_13930_10397,0.0
cat__ROUTE_10279_12889,0.0
cat__ROUTE_13930_10299,0.0
cat__ROUTE_13930_10268,0.0
cat__ROUTE_13930_10257,0.0
cat__ROUTE_13930_10599,0.0
cat__ROUTE_13871_11278,0.0
cat__ROUTE_13871_11259,0.0
cat__ROUTE_13871_11057,0.0
cat__ROUTE_13871_10693,0.0
cat__ROUTE_13871_10466,0.0
cat__ROUTE_13871_10423,0.0
